intro,challenge,decision,result,choice1,choice2,choice3,choice4,correctIndex
"あなたは暗い部屋(バリエーション4)で目を覚ました。","足元から不気味な音が聞こえる。","床下を点検し、何かを見つけるかもしれない。","床下から隠し階段を発見！次のステージへ進め！","床板を外す","足音を立てる","懐中電灯で照らす","古い布をめくる",2
"あなたは研究室(バリエーション4)で意識を取り戻した。","実験動物のケージが多数ある。","ケージを調べれば鍵があるかも？","ケージの中で鍵を発見！次のステージへ進め！","餌を与えておびき出す","ケージを壊す","ケージを開ける","注射器を用意する",2
"あなたは地下室(バリエーション4)で気がついた。","レンガが崩れかけた壁がある。","壁を壊して抜け道を作れそうだ。","壁を取り壊し、裏に秘密の通路を発見！次のステージへ進め！","ハンマーで叩く","水を掛ける","酸で溶かす","声をかける",0
"あなたは廃墟の病院(バリエーション4)にいる。","薬棚に怪しげな瓶が並んでいる。","薬を活用すれば体力を回復できるかも。","体力が回復し、走れるようになった！次のステージへ進め！","瓶を開ける","棚を倒す","薬を調合する","無視して進む",2
"あなたは監獄(バリエーション4)の独房で目を覚ました。","独房の隅に古い落書きがある。","落書きを読み解けば暗号がわかるかも。","暗号を解読し隠し扉を発見！次のステージへ進め！","落書きを擦る","ライトで照らす","紙に書き写す","落書きを塗りつぶす",1
"あなたは図書館(バリエーション4)で目を覚ました。","古い地図が壁に貼られている。","地図をヒントに隠しエリアを探そう。","地図に示された場所から扉を発見！次のステージへ進め！","地図をはがす","マーカーで記入する","地図を破る","他の資料と照らし合わせる",3
"あなたは森の中の小屋(バリエーション4)で目を覚ました。","周囲には人の気配が全くない。","外へ出て助けを呼ぶか、隠れるか。","助けを呼び、通りがかった人に救出された！","火を焚いて合図する","大声を出す","ドアを開ける","周囲を探索する",1
"あなたは豪華客船(バリエーション4)の船室で目を覚ました。","部屋の外から人の叫び声が聞こえる。","声の方向へ向かえば手がかりが得られるかも。","叫んでいた乗客を救助し、非常口のキーを入手！","部屋を飛び出す","通報ボタンを押す","ドアを叩く","窓から脱出する",1
"あなたは遺跡(バリエーション4)の一角で目を覚ました。","天井が低く、這って進むしかなさそうだ。","慎重に進めば罠を回避できるかも。","無事に罠を避け、石段を発見！次のステージへ進め！","床を調べながら進む","壁を叩きながら進む","明かりを消して進む","道具を投げてチェック",0
"あなたは巨大な倉庫(バリエーション4)で目を覚ました。","高所作業用のリフトが見える。","リフトを使って上にある出口を探そう。","リフトで上に移動し、ハッチを発見！次のステージへ進め！","リフトを起動する","はしごをかける","箱を積み上げる","誰か呼ぶ",3
"あなたは暗い部屋(バリエーション5)で目を覚ました。","壁に不思議な絵が描いてある。","絵を動かすと仕掛けがあるかもしれない。","絵の裏から暗号が出現！次のステージへ進め！","絵を外す","絵を破る","ライトを当てる","壁を塗り直す",0
"あなたは研究室(バリエーション5)で意識を取り戻した。","テーブルに試作品の機械が置いてある。","機械を調整すれば扉を開けられるかも。","機械が起動し、電子ロックが解除！次のステージへ進め！","電池を入れる","ネジを締める","コードを交換する","スイッチを入れる",3
"あなたは地下室(バリエーション5)で気がついた。","床に怪しい魔方陣のような模様がある。","魔方陣を完成させれば何か起こりそうだ。","魔方陣が光り、隠し通路が開いた！次のステージへ進め！","チョークで書き足す","線を乱す","水で消す","蝋燭を置く",0
"あなたは廃墟の病院(バリエーション5)にいる。","階段が崩れかけていて上に行けない。","補強して登るか別の道を探すか。","板で補強してなんとか上の階へ！次のステージへ進め！","板を渡す","梯子を掛ける","ロープで登る","諦めて引き返す",1
"あなたは監獄(バリエーション5)の独房で目を覚ました。","廊下に誰かの足音が近づいている。","隠れる場所を探すか、対策を立てないと。","足音の主をやり過ごし、脱走のチャンスを得た！","ベッドの下に隠れる","壁を叩いて威嚇","鍵穴を覗く","タオルを投げる",0
"あなたは図書館(バリエーション5)で目を覚ました。","読めない文字が書かれた地図が机に広げられている。","文字を解読する手段を見つけよう。","地図の暗号を解読し、次への道がわかった！","辞書を探す","スマホで調べる","勘で進む","地図を破る",1
"あなたは森の中の小屋(バリエーション5)で目を覚ました。","扉には番号式の錠前がかかっている。","ヒントを探して番号を割り出そう。","錠前が開いて扉が開いた！次のステージへ進め！","壁のラクガキを読む","床のシミを調べる","引き出しを探す","外から覗く",0
"あなたは豪華客船(バリエーション5)の船室で目を覚ました。","部屋の中が逆さまに荒らされている。","何かを探した形跡があるようだ。","散乱した中から鍵を発見！次のステージへ進め！","床の隙間を探す","タンスを動かす","寝具をめくる","鏡を割る",2
"あなたは遺跡(バリエーション5)の一角で目を覚ました。","岩で封鎖された通路がある。","なんとかして岩をどかさないと進めない。","岩を転がして道を開けた！次のステージへ進め！","テコの原理で動かす","爆薬を仕掛ける","みんなで押す","水を流す",0
"あなたは巨大な倉庫(バリエーション5)で目を覚ました。","搬入口に大きなシャッターがある。","シャッターを開ける装置を探そう。","装置のスイッチを入れてシャッターが上がった！次のステージへ進め！","制御盤を開ける","扉をこじ開ける","電源を確保する","道具を探す",2
"あなたは暗い部屋(バリエーション6)で目を覚ました。","湿った空気とカビの臭いがする。","換気をすれば出口が見えるかも。","換気口を開けて部屋全体が見渡せた！次のステージへ進め！","扇風機を回す","窓を探す","マスクをする","水を撒く",0
"あなたは研究室(バリエーション6)で意識を取り戻した。","机に未完成のロボットアームがある。","アームを完成させれば何かつかめそう。","アームで鍵を引き寄せた！次のステージへ進め！","設計図を読む","部品を組み立てる","ネジを抜く","アームを捨てる",1
"あなたは地下室(バリエーション6)で気がついた。","壁に大量の落書きが残っている。","落書きから暗号を抜き出せるかも。","暗号を解き、隠されたスイッチを押せた！次のステージへ進め！","一文字ずつ読む","写真を撮る","水で消す","上書きする",0
"あなたは廃墟の病院(バリエーション6)にいる。","奥の部屋に強力な磁石が落ちているらしい。","磁石を使えば金属扉を開けられるかも。","磁石で錠を動かし、扉が開いた！次のステージへ進め！","磁石を拾う","扉を叩き壊す","レントゲンを使う","隣の部屋を探索する",0
"あなたは監獄(バリエーション6)の独房で目を覚ました。","窓の外に鉄格子が見える。","鉄格子をどうにかして外さなければ。","鉄格子を外して窓から脱出！次のステージへ進め！","道具でこじ開ける","溶接機を使う","看守を説得する","手で強引に曲げる",1
"あなたは図書館(バリエーション6)で目を覚ました。","テーブルに大きな地球儀が置いてある。","地球儀を動かすと隠しボタンがあるかも？","ボタンを押し、棚が動いて抜け道発見！次のステージへ進め！","地球儀を回す","地球儀を破壊する","地球儀を覗き込む","棚を揺らす",0
"あなたは森の中の小屋(バリエーション6)で目を覚ました。","周囲には古い道具が散乱している。","使えそうな道具を探してみよう。","古いノコギリを見つけ、扉の板を切断！次のステージへ進め！","箱を開ける","床下を調べる","壁を壊す","道具を整理する",2
"あなたは豪華客船(バリエーション6)の船室で目を覚ました。","外の波音が大きい。嵐が来ているのかも。","甲板に行って様子を確認すべきか。","甲板で救命ボートを発見！次のステージへ進め！","ライフジャケットを着る","ドアを固定する","非常口を探す","乗客に声をかける",2
"あなたは遺跡(バリエーション6)の一角で目を覚ました。","壁一面に奇妙な模様が続いている。","模様の一部を押すと仕掛けが動くかもしれない。","隠しスイッチが作動し扉が開いた！次のステージへ進め！","模様を押す","模様を塗る","火を近づける","模様を削る",0
"あなたは巨大な倉庫(バリエーション6)で目を覚ました。","空調が停止して暑い。機械が動いていないらしい。","電源を入れれば扉も開くかもしれない。","電源が復旧し、セキュリティロックが解除！次のステージへ進め！","ブレーカーを探す","バッテリーを繋ぐ","発電機を起動する","諦める",1
"あなたは暗い部屋(バリエーション7)で目を覚ました。","部屋の中央に怪しい祭壇がある。","祭壇を調べてみれば仕掛けがあるかも。","祭壇の奥から通路が現れた！次のステージへ進め！","祭壇を破壊する","祭壇を動かす","祭壇に祈る","祭壇を照らす",1
"あなたは研究室(バリエーション7)で意識を取り戻した。","上の棚に不気味な標本が置かれている。","標本の中に鍵が隠されているかもしれない。","標本の瓶から鍵を取り出した！次のステージへ進め！","踏み台を使う","棚を倒す","棒で引き寄せる","標本を割る",3
"あなたは地下室(バリエーション7)で気がついた。","レンガの床にひび割れがある。","下に空洞があるなら掘り進めるか？","床を抜けて下のフロアに行けた！次のステージへ進め！","レンガを外す","水を流す","薬品で溶かす","ジャンプして壊す",0
"あなたは廃墟の病院(バリエーション7)にいる。","壁の貼り紙に何かメッセージが。","メッセージの内容を確認しよう。","貼り紙に隠された暗号を解読し、扉のロックを解除！","貼り紙を丁寧に読む","破り捨てる","ライトを当てる","写真を撮る",0
"あなたは監獄(バリエーション7)の独房で目を覚ました。","独房の天井に小さな換気口がある。","換気口を外せば通れるかも。","換気口から這い出して廊下へ！次のステージへ進め！","脚立を探す","ジャンプして掴む","看守を呼ぶ","換気扇を止める",0
"あなたは図書館(バリエーション7)で目を覚ました。","読めない古代文字の本がある。","本を調べてみると仕掛けがあるかもしれない。","本のカバー下に鍵を発見！次のステージへ進め！","本を破る","翻訳機を使う","本を叩く","本を丁寧にめくる",3
"あなたは森の中の小屋(バリエーション7)で目を覚ました。","窓の外に動物の影がちらつく。","外に餌をまいておびき寄せてみるか。","動物が去った隙に出口を開けられた！次のステージへ進め！","食料を探す","声で追い払う","ライトを当てる","手拍子で威嚇する",2
"あなたは豪華客船(バリエーション7)の船室で目を覚ました。","船内が停電して真っ暗だ。","懐中電灯か非常灯を探さなければ。","非常灯を点けて通路が確認できた！次のステージへ進め！","ロウソクを使う","携帯電話を照らす","懐中電灯を探す","布を燃やす",2
"あなたは遺跡(バリエーション7)の一角で目を覚ました。","床に仕掛けスイッチがありそうだ。","踏むとトラップかもしれない。慎重に行動しよう。","罠を回避し、隠し通路を発見！次のステージへ進め！","棒で床を突く","一気に走る","重い石を置く","飛び越える",0
"あなたは巨大な倉庫(バリエーション7)で目を覚ました。","壁際に古い作業台がある。","作業台に手がかりが隠されているかもしれない。","作業台の引き出しから地図を入手！次のステージへ進め！","引き出しを開ける","天板を外す","作業台を壊す","ライトを置く",1
"あなたは暗い部屋(バリエーション8)で目を覚ました。","室内に巨大な時計がある。","時計の針を動かせば扉が開く仕掛けかも。","正しい時刻を合わせるとロック解除！次のステージへ進め！","時刻を入力する","針を全て外す","時計を壊す","秒針だけ動かす",0
"あなたは研究室(バリエーション8)で意識を取り戻した。","入口がレーザートラップで守られている。","電源を落とせばトラップを止められるか？","レーザーが消え、安全に出口へ！次のステージへ進め！","コードを抜く","鏡で反射する","床を潜り抜ける","非常停止ボタンを押す",3
"あなたは地下室(バリエーション8)で気がついた。","多数のパイプが絡まっている。","パイプを正しく繋げば排水されるかも。","排水に成功し、奥への扉が見えた！次のステージへ進め！","パイプを組み立て直す","スイッチを入れる","水を捨てる","壁を壊す",0
"あなたは廃墟の病院(バリエーション8)にいる。","暗い廊下に医療ベッドが転がっている。","ベッドを押しのけると道が開くかも。","ベッドを動かしてドアの前を確保！次のステージへ進め！","ベッドに乗る","車輪を外す","押してどける","ライトを消す",2
"あなたは監獄(バリエーション8)の独房で目を覚ました。","牢屋の鍵は看守室にあるらしい。","看守室までたどり着く方法を考えよう。","抜け道から看守室に入り鍵をゲット！次のステージへ進め！","看守をおびき出す","天井の隙間を使う","騒ぎを起こす","壁を掘る",1
"あなたは図書館(バリエーション8)で目を覚ました。","複数の本にしおりが挟まれている。","しおりの順番が鍵になりそうだ。","しおりの順で本を並べ替え、仕掛けが動いた！次のステージへ進め！","本を数字順に並べる","適当に並べる","しおりの色を合わせる","本を投げる",0
"あなたは森の中の小屋(バリエーション8)で目を覚ました。","裏庭にトラバサミが仕掛けられている。","道を安全にするにはトラバサミを処理しよう。","トラバサミを解除して通路を確保！次のステージへ進め！","棒で触る","泥で埋める","ロープを引く","足で踏む",0
"あなたは豪華客船(バリエーション8)の船室で目を覚ました。","非常口が閉鎖されている。電子ロックを解除しないと。","パネルに正しいパスコードを入力できるか。","ロックが解除され、デッキへ出られた！次のステージへ進め！","暗号表を探す","適当な数字を押す","通信機を探す","救命いかだに乗る",0
"あなたは遺跡(バリエーション8)の一角で目を覚ました。","天井から砂がこぼれ落ちてきている。","急いで脱出しないと埋もれるかも！","砂の流れを止めて道を確保！次のステージへ進め！","天井を突く","バケツで受ける","岩で塞ぐ","全力で走る",2
"あなたは巨大な倉庫(バリエーション8)で目を覚ました。","積まれた木箱がドミノのように並んでいる。","倒さないように慎重に進む必要がある。","隙間を抜けて安全に出口へ！次のステージへ進め！","遠回りする","箱を倒して道を作る","箱をずらす","上をよじ登る",1
"あなたは暗い部屋(バリエーション9)で目を覚ました。","壁に一枚の鏡がかかっている。","鏡を動かすと裏に何かあるかも。","裏に鍵が貼り付けられていた！次のステージへ進め！","鏡を外す","鏡を割る","鏡を磨く","鏡に映るものを探す",0
"あなたは研究室(バリエーション9)で意識を取り戻した。","試作品のドローンがテーブルに置いてある。","ドローンを飛ばして周囲を偵察しよう。","ドローンが奥の部屋のスイッチを押し、扉が開いた！","ドローンを起動する","リモコンを探す","羽を取り外す","壁にぶつける",1
"あなたは地下室(バリエーション9)で気がついた。","壊れたパイプから蒸気が漏れている。","蒸気を止めないと熱くて通れない。","蒸気が止まり安全に通過！次のステージへ進め！","バルブを締める","タオルで覆う","水をかける","パイプを蹴る",0
"あなたは廃墟の病院(バリエーション9)にいる。","車椅子が通路を塞いでいる。","車椅子をよければ先に進める。","車椅子を押しのけ、道を確保！次のステージへ進め！","車椅子に乗る","車椅子をバラす","車椅子を投げる","車椅子を押す",3
"あなたは監獄(バリエーション9)の独房で目を覚ました。","小さな明かり取り窓から月明かりが射している。","月明かりで鍵穴を照らせば鍵が見つかるかも。","鍵を見つけて独房の扉を開けた！次のステージへ進め！","窓を拭く","月に祈る","扉を叩く","懐中電灯を使う",0
"あなたは図書館(バリエーション9)で目を覚ました。","天井にロープが垂れ下がっている。","ロープを引けば何かが起こりそうだ。","天井からはしごが降りてきた！次のステージへ進め！","ロープを思い切り引く","ロープを切る","ロープで結ぶ","ロープを登る",0
"あなたは森の中の小屋(バリエーション9)で目を覚ました。","古びたラジオがテーブルに置いてある。","電源を入れてSOSを流せるかも。","SOSを受信した人が助けに来てくれた！次のステージへ進め！","ラジオを修理する","アンテナを伸ばす","周波数を合わせる","電源コードを抜く",2
"あなたは豪華客船(バリエーション9)の船室で目を覚ました。","客室通路の途中で床が抜けている。","迂回路か修復手段を探そう。","他の通路を見つけてデッキへ到達！次のステージへ進め！","足場を作る","飛び越える","梯子を降ろす","布を渡す",1
"あなたは遺跡(バリエーション9)の一角で目を覚ました。","小さな泉が湧いている。","泉の底に何か光るものがあるかもしれない。","泉の底から宝珠を取り出した！次のステージへ進め！","水を抜く","手を入れて探る","泉を埋める","宝珠を無視する",1
"あなたは巨大な倉庫(バリエーション9)で目を覚ました。","入口に巨大なロボットアームが立ちはだかっている。","アームを動かして道を開けよう。","アームが上がり、扉が解放！次のステージへ進め！","制御パネルを操作する","コードを引き抜く","隙間を通り抜ける","ロボットに話しかける",0
"あなたは暗い部屋(バリエーション10)で目を覚ました。","壁に一筋の光が差し込んでいる。","光をたどれば出口があるかも。","光の先に小さな扉が！次のステージへ進め！","壁を削る","鏡で反射させる","ライトを消す","布で覆う",0
"あなたは研究室(バリエーション10)で意識を取り戻した。","PCが立ち上がりっぱなしだ。ログイン画面が見える。","パスワードを解けば何かがわかるかも。","システムを解除し、電子ロックがオフに！次のステージへ進め！","パスワードを試す","強制終了する","ハッキングツールを使う","適当にクリックする",2
"あなたは地下室(バリエーション10)で気がついた。","ろうそくがいくつか灯されている。","火を消せば隠し文字が浮かぶかもしれない。","隠し文字から秘密の番号を発見！次のステージへ進め！","息を吹きかける","水をかける","ろうそくを持ち歩く","ろうそくを増やす",1
"あなたは廃墟の病院(バリエーション10)にいる。","手術台が中央にあり、資料が散乱している。","資料を調べれば手がかりがわかるかも。","脱出に必要なコードを発見！次のステージへ進め！","資料を整理する","資料を破く","机をひっくり返す","ゴミ箱を探る",0
"あなたは監獄(バリエーション10)の独房で目を覚ました。","廊下の奥で物音がする。","人がいるかもしれない。交渉して助けを得られないか？","看守から鍵を盗むチャンス発生！次のステージへ進め！","話しかける","椅子を投げる","囮を使う","静かに待つ",3
"あなたは図書館(バリエーション10)で目を覚ました。","階段が壊れていて二階に上がれない。","別の道か修復方法を探そう。","奥のエレベーターが非常用電源で動いた！次のステージへ進め！","非常電源を探す","本で橋を作る","脚立を並べる","天井を突き破る",0
"あなたは森の中の小屋(バリエーション10)で目を覚ました。","稲光が遠くから見える。嵐が近い。","安全な場所へ移動しなければならない。","嵐を避け、裏手にある隠れ穴を発見！次のステージへ進め！","気象レーダーを見る","風向きを調べる","小屋を補強する","裏手を探索する",3
"あなたは豪華客船(バリエーション10)の船室で目を覚ました。","レーダー装置が故障しているという放送がある。","修理に協力すれば先へ行けるかも。","レーダーが復旧して操舵室へ入れた！次のステージへ進め！","工具箱を持ち出す","ケーブルを交換する","船長を呼ぶ","故障を放置する",1
"あなたは遺跡(バリエーション10)の一角で目を覚ました。","巨大な石車輪が転がりそうだ。","うまく転がして道を作れるかも。","石車輪で壁を壊し、次のステージへ進め！","石車輪を押す","石車輪を止める","石車輪に乗る","石車輪を粉砕する",0
"あなたは巨大な倉庫(バリエーション10)で目を覚ました。","床に落ちているチェーンソーがある。","チェーンソーで木材を切って足場を作るか？","足場を完成させ、高い場所から脱出ルート発見！次のステージへ進め！","チェーンソーを起動する","一気に切り倒す","壊れたパレットを使う","周囲を警戒する",2
